Gene name	miRBase ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
MIR1972-1	hsa-mir-1972-1	16	15010321	15010397
MIR1972-1	hsa-mir-1972-2	16	15010321	15010397
MIR4728	hsa-mir-4728	17	39726495	39726561
MIR3591	hsa-mir-122b	18	58451080	58451152
MIR199A1	hsa-mir-199a-1	19	10817426	10817496
MIR6887	hsa-mir-6887	19	35122700	35122764
MIR518B	hsa-mir-518b	19	53702737	53702819
MIR519A1	hsa-mir-519a-1	19	53752397	53752481
MIR1245B	hsa-mir-1245b	2	188978093	188978161
MIR26B	hsa-mir-26b	2	218402646	218402722
MIR3193	hsa-mir-3193	20	31607186	31607240
MIR941-1	hsa-mir-941-1	20	63919449	63919520
MIR5591	hsa-mir-5591	4	39411910	39411974
MIR550A1	hsa-mir-550a-1	7	30289794	30289890
MIR550A1	hsa-mir-550b-1	7	30289794	30289890
MIR3151	hsa-mir-3151	8	103154614	103154689
MIR222	hsa-mir-222	X	45747015	45747124
MIR3672	hsa-mir-3672	X	121370972	121371053
MIR891B	hsa-mir-891b	X	146001053	146001131
MIR6730	hsa-mir-6730	1	12578957	12579023
MIR1231	hsa-mir-1231	1	201808611	201808702
MIR4682	hsa-mir-4682	10	119958513	119958592
MIR483	hsa-mir-483	11	2134134	2134209
MIR200C	hsa-mir-200c	12	6963699	6963766
MIR623	hsa-mir-623	13	99356131	99356228
MIR6511B2	hsa-mir-6511b-2	16	15134075	15134145
MIR5093	hsa-mir-5093	16	85306226	85306325
MIR634	hsa-mir-634	17	66787072	66787168
MIR3186	hsa-mir-3186	17	81451104	81451188
MIR6500	hsa-mir-6500	1	51060018	51060103
MIR187	hsa-mir-187	18	35904818	35904926
MIR4680	hsa-mir-4680	10	110898090	110898155
MIR1302-11	hsa-mir-1302-2	19	71973	72110
MIR1302-11	hsa-mir-1302-9	19	71973	72110
MIR1302-11	hsa-mir-1302-10	19	71973	72110
MIR1302-11	hsa-mir-1302-11	19	71973	72110
MIR7843	hsa-mir-7843	14	72516820	72516898
MIR4265	hsa-mir-4265	2	109141490	109141588
MIR376A1	hsa-mir-376a-1	14	101040782	101040849
MIR3618	hsa-mir-3618	22	20085746	20085833
MIR410	hsa-mir-410	14	101065912	101065991
MIR3684	hsa-mir-3684	4	98997387	98997460
MIR378H	hsa-mir-378h	5	154829458	154829540
MIR484	hsa-mir-484	16	15643294	15643372
MIR7159	hsa-mir-7159	6	33899135	33899200
MIR6511A2	hsa-mir-6511a-1	16	16324588	16324654
MIR6511A2	hsa-mir-6511a-2	16	16324588	16324654
MIR6511A2	hsa-mir-6511a-3	16	16324588	16324654
MIR6511A2	hsa-mir-6511a-4	16	16324588	16324654
MIR548AJ1	hsa-mir-548aj-1	6	132115192	132115263
MIR4724	hsa-mir-4724	17	31534883	31534971
MIR3683	hsa-mir-3683	7	7066964	7067045
MIR6779	hsa-mir-6779	17	38914979	38915042
MIR486-1	hsa-mir-486-1	8	41660441	41660508
MIR486-1	hsa-mir-486-2	8	41660441	41660508
MIR520D	hsa-mir-520d	19	53720096	53720182
MIR548AA1	hsa-mir-548d-1	8	123348034	123348130
MIR548AA1	hsa-mir-548aa-1	8	123348034	123348130
MIR153-1	hsa-mir-153-1	2	219294111	219294200
MIR133A2	hsa-mir-133a-2	20	62564912	62565013
MIR7112	hsa-mir-7112	8	144262673	144262737
MIR4445	hsa-mir-4445	3	109602828	109602897
MIR24-1	hsa-mir-24-1	9	95086021	95086088
MIR4641	hsa-mir-4641	6	41598723	41598788
MIR32	hsa-mir-32	9	109046229	109046298
MIR3692	hsa-mir-3692	6	157529132	157529200
MIR4669	hsa-mir-4669	9	134379411	134379472
MIR591	hsa-mir-591	7	96219662	96219756
MIR3690	hsa-mir-3690-1	X	1293918	1293992
MIR3690	hsa-mir-3690-2	X	1293918	1293992
MIR93	hsa-mir-93	7	100093768	100093847
MIR671	hsa-mir-671	7	151238421	151238538
MIR223	hsa-mir-223	X	66018870	66018979
MIR1208	hsa-mir-1208	8	128150116	128150188
MIR508	hsa-mir-508	X	147236913	147237027
MIR3910-2	hsa-mir-3910-2	9	91636264	91636345
MIR4426	hsa-mir-4426	1	192716328	192716390
MIR6124	hsa-mir-6124	11	12163683	12163767
MIR1260B	hsa-mir-1260b	11	96341438	96341526
MIR3920	hsa-mir-3920	11	101519820	101519905
MIR4495	hsa-mir-4495	12	97939056	97939121
MIR8079	hsa-mir-8079	13	44196129	44196200
MIR7703	hsa-mir-7703	14	24143489	24143565
MIR3713	hsa-mir-3713	15	76586647	76586691
MIR6768	hsa-mir-6768	16	2463967	2464038
MIR3179-2	hsa-mir-3179-1	16	16300159	16300242
MIR3179-2	hsa-mir-3179-2	16	16300159	16300242
MIR3179-2	hsa-mir-3179-3	16	16300159	16300242
MIR3179-2	hsa-mir-3179-4	16	16300159	16300242
MIR27A	hsa-mir-27a	19	13836440	13836517
MIR4261	hsa-mir-4261	2	10192614	10192671
MIR4772	hsa-mir-4772	2	102432289	102432366
MIR9500	hsa-mir-9500	2	218823090	218823154
MIR548X	hsa-mir-548x	21	18686090	18686164
MIR4790	hsa-mir-4790	3	5250177	5250255
MIR8064	hsa-mir-8064	3	52846463	52846552
MIR548AG1	hsa-mir-548ag-1	4	60922619	60922684
MIR367	hsa-mir-367	4	112647874	112647941
MIR3688-1	hsa-mir-3688-1	4	159128802	159128894
MIR3688-1	hsa-mir-3688-2	4	159128802	159128894
MIR7161	hsa-mir-7161	6	158609707	158609790
MIR651	hsa-mir-651	X	8126965	8127061
MIR548I4	hsa-mir-548i-4	X	84225752	84225828
MIR1911	hsa-mir-1911	X	114763184	114763263
MIR1256	hsa-mir-1256	1	20988314	20988432
MIR4487	hsa-mir-4487	11	47400970	47401042
MIR4505	hsa-mir-4505	14	73758747	73758819
MIR544A	hsa-mir-544a	14	101048658	101048748
MIR369	hsa-mir-369	14	101065598	101065667
MIR1179	hsa-mir-1179	15	88608107	88608197
MIR4320	hsa-mir-4320	18	50126499	50126563
MIR4272	hsa-mir-4272	3	67225464	67225527
MIR8084	hsa-mir-8084	8	93029751	93029839
MIR1207	hsa-mir-1207	8	128049152	128049238
MIR4472-1	hsa-mir-4472-1	8	142176339	142176418
MIR8088	hsa-mir-8088	X	52336557	52336642
MIR424	hsa-mir-424	X	134546614	134546711
MIR224	hsa-mir-224	X	151958578	151958658
MIR1290	hsa-mir-1290	1	18897071	18897148
MIR30E	hsa-mir-30e	1	40754355	40754446
MIR554	hsa-mir-554	1	151545796	151545891
MIR3155B	hsa-mir-3155b	10	6152207	6152262
MIR4686	hsa-mir-4686	11	2173063	2173138
MIR7107	hsa-mir-7107	12	121444273	121444352
MIR624	hsa-mir-624	14	31014646	31014742
MIR493	hsa-mir-493	14	100869060	100869148
MIR1193	hsa-mir-1193	14	101030052	101030129
MIR1266	hsa-mir-1266	15	52277117	52277200
MIR138-2	hsa-mir-138-2	16	56858518	56858601
MIR6781	hsa-mir-6781	17	42823880	42823943
MIR3156-2	hsa-mir-3156-2	18	14830166	14830242
MIR519E	hsa-mir-519e	19	53679940	53680023
MIR4437	hsa-mir-4437	2	181305593	181305652
MIR5703	hsa-mir-5703	2	227472132	227472187
MIR466	hsa-mir-466	3	31161704	31161787
MIR6824	hsa-mir-6824	3	48633636	48633698
MIR4446	hsa-mir-4446	3	113594876	113594942
MIR16-2	hsa-mir-16-2	3	160404745	160404825
MIR1263	hsa-mir-1263	3	164171471	164171556
MIR943	hsa-mir-943	4	1986384	1986477
MIR4457	hsa-mir-4457	5	1309310	1309377
MIR542	hsa-mir-542	X	134541341	134541437
MIR3120	hsa-mir-3120	1	172138808	172138888
MIR4735	hsa-mir-4735	1	196582413	196582481
MIR1296	hsa-mir-1296	10	63372957	63373048
MIR4483	hsa-mir-4483	10	113777993	113778054
MIR4301	hsa-mir-4301	11	113450023	113450088
MIR5580	hsa-mir-5580	14	53948427	53948484
MIR151B	hsa-mir-151b	14	100109419	100109514
MIR376B	hsa-mir-376b	14	101040436	101040535
MIR3179-4	hsa-mir-3179-1	16	18494493	18494576
MIR3179-4	hsa-mir-3179-2	16	18494493	18494576
MIR3179-4	hsa-mir-3179-3	16	18494493	18494576
MIR3179-4	hsa-mir-3179-4	16	18494493	18494576
MIR4521	hsa-mir-4521	17	8186945	8187004
MIR33B	hsa-mir-33b	17	17813836	17813931
MIR451A	hsa-mir-451a	17	28861369	28861440
MIR451A	hsa-mir-451b	17	28861369	28861440
MIR6785	hsa-mir-6785	17	75498548	75498628
MIR1909	hsa-mir-1909	19	1816159	1816238
MIR99B	hsa-mir-99b	19	51692612	51692681
MIR6801	hsa-mir-6801	19	52222020	52222098
MIR3194	hsa-mir-3194	20	51452905	51452977
MIR1224	hsa-mir-1224	3	184241405	184241489
MIR4473	hsa-mir-4473	9	20411148	20411238
MIR4291	hsa-mir-4291	9	93819357	93819421
MIR4292	hsa-mir-4292	9	136830957	136831023
MIR500B	hsa-mir-500b	X	50010672	50010750
MIR545	hsa-mir-545	X	74287104	74287209
MIR6744	hsa-mir-6744	11	1256605	1256670
MIR4687	hsa-mir-4687	11	3856062	3856141
MIR4303	hsa-mir-4303	12	97995383	97995448
MIR4500	hsa-mir-4500	13	87618665	87618740
MIR4307	hsa-mir-4307	14	26908642	26908725
MIR431	hsa-mir-431	14	100881007	100881120
MIR889	hsa-mir-889	14	101047901	101047979
MIR3180-3	hsa-mir-3180-1	16	18402178	18402271
MIR3180-3	hsa-mir-3180-2	16	18402178	18402271
MIR3180-3	hsa-mir-3180-3	16	18402178	18402271
MIR4721	hsa-mir-4721	16	28843919	28844007
MIR5189	hsa-mir-5189	16	88468918	88469031
MIR4520-1	hsa-mir-4520-1	17	6655440	6655509
MIR497	hsa-mir-497	17	7017911	7018022
MIR6791	hsa-mir-6791	19	6736712	6736778
MIR8077	hsa-mir-8077	19	42351131	42351205
MIR6807	hsa-mir-6807	19	58550285	58550376
MIR4775	hsa-mir-4775	2	207754807	207754881
MIR4438	hsa-mir-4438	2	213758067	213758159
MIR4777	hsa-mir-4777	2	231362708	231362793
MIR802	hsa-mir-802	21	35720715	35720808
MIR568	hsa-mir-568	3	114316475	114316569
MIR15B	hsa-mir-15b	3	160404588	160404685
MIR4449	hsa-mir-4449	4	52712682	52712747
MIR1243	hsa-mir-1243	4	113106863	113106955
AC016601.1		5	54075518	54075583
MIR339	hsa-mir-339	7	1022933	1023026
MIR3147	hsa-mir-3147	7	57405025	57405090
MIR597	hsa-mir-597	8	9741672	9741768
MIR3149	hsa-mir-3149	8	76966768	76966850
MIR1234	hsa-mir-1234	8	144400086	144400165
MIR4328	hsa-mir-4328	X	78901194	78901249
MIR3978	hsa-mir-3978	X	110082118	110082218
MIR6068	hsa-mir-6068	1	63326925	63326984
MIR488	hsa-mir-488	1	177029363	177029445
MIR4480	hsa-mir-4480	10	12578753	12578823
MIR675	hsa-mir-675	11	1996759	1996831
MIR618	hsa-mir-618	12	80935736	80935833
MIR6773	hsa-mir-6773	16	68233426	68233499
MIR6780A	hsa-mir-6780a	17	42708084	42708151
MIR3187	hsa-mir-3187	19	813584	813653
MIR7-3	hsa-mir-7-3	19	4770670	4770779
MIR498	hsa-mir-498	19	53674197	53674320
MIR298	hsa-mir-298	20	58818226	58818313
MIR3687-2		21	8987370	8987430
MIR3714	hsa-mir-3714	3	16933196	16933260
MIR138-1	hsa-mir-138-1	3	44114212	44114310
MIR2277	hsa-mir-2277	5	93620696	93620788
MIR874	hsa-mir-874	5	137647572	137647649
MIR3143	hsa-mir-3143	6	27147626	27147688
MIR4643	hsa-mir-4643	6	91521660	91521737
MIR6874	hsa-mir-6874	7	5711840	5711910
MIR4468	hsa-mir-4468	7	138123758	138123821
MIR4674	hsa-mir-4674	9	136546173	136546259
MIR1262	hsa-mir-1262	1	68183518	68183610
MIR511	hsa-mir-511	10	17845107	17845193
MIR8086	hsa-mir-8086	10	28289258	28289350
MIR6879	hsa-mir-6879	11	65018505	65018570
MIR203A	hsa-mir-203a	14	104117405	104117514
MIR5195	hsa-mir-5195	14	106850885	106850999
MIR4717	hsa-mir-4717	16	2274620	2274691
MIR3179-1	hsa-mir-3179-1	16	14901508	14901591
MIR3179-1	hsa-mir-3179-2	16	14901508	14901591
MIR3179-1	hsa-mir-3179-3	16	14901508	14901591
MIR3179-1	hsa-mir-3179-4	16	14901508	14901591
MIR4434	hsa-mir-4434	2	64525513	64525565
MIR3133	hsa-mir-3133	2	241477905	241477982
AC012087.1		3	24521362	24521435
MIR4451	hsa-mir-4451	4	85722468	85722533
MIR297	hsa-mir-297	4	110860582	110860647
MIR580	hsa-mir-580	5	36147892	36147988
MIR4423	hsa-mir-4423	1	85133794	85133873
MIR548B	hsa-mir-548b	6	119069047	119069143
MIR4258	hsa-mir-4258	1	154975693	154975783
MIR4671	hsa-mir-4671	1	234306467	234306539
MIR1183	hsa-mir-1183	7	21471058	21471146
MIR548AK	hsa-mir-548ak	10	12130760	12130816
MIR937	hsa-mir-937	8	143812957	143813042
MIR4482	hsa-mir-4482	10	104268336	104268405
MIR1184-1	hsa-mir-1184-1	X	154887360	154887458
MIR1184-1	hsa-mir-1184-2	X	154887360	154887458
MIR1184-1	hsa-mir-1184-3	X	154887360	154887458
MIR6073	hsa-mir-6073	11	15969533	15969621
MIR548K	hsa-mir-548k	11	70283955	70284070
MIR4693	hsa-mir-4693	11	103849906	103849980
MIR6763	hsa-mir-6763	12	132581997	132582061
MIR3173	hsa-mir-3173	14	95137919	95137986
MIR4508	hsa-mir-4508	15	23562062	23562131
MIR3670-1	hsa-mir-3670-1	16	14907717	14907781
MIR3670-1	hsa-mir-3670-2	16	14907717	14907781
MIR3670-1	hsa-mir-3670-3	16	14907717	14907781
MIR3670-1	hsa-mir-3670-4	16	14907717	14907781
MIR196A1	hsa-mir-196a-1	17	48632490	48632559
MIR4524A	hsa-mir-4524a	17	69099564	69099632
MIR1539	hsa-mir-1539	18	49487373	49487422
MIR3190	hsa-mir-3190	19	47226942	47227021
MIR3190	hsa-mir-3191	19	47226942	47227021
MIRLET7E	hsa-let-7e	19	51692786	51692864
MIR499B	hsa-mir-499b	20	34990400	34990472
MIR5739	hsa-mir-5739	22	28459869	28459948
MIR569	hsa-mir-569	3	171106664	171106759
MIR571	hsa-mir-571	4	350157	350252
MIR4285	hsa-mir-4285	7	102293103	102293187
MIR3686	hsa-mir-3686	8	129484057	129484142
MIR892A	hsa-mir-892a	X	145996669	145996743
MIR513A2	hsa-mir-513a-2	X	147225826	147225952
MIR6743	hsa-mir-6743	11	209336	209406
MIR302E	hsa-mir-302e	11	7234766	7234837
MIR3159	hsa-mir-3159	11	18387787	18387860
MIR548L	hsa-mir-548l	11	94466495	94466580
MIR3167	hsa-mir-3167	11	126988458	126988542
MIR613	hsa-mir-613	12	12764649	12764743
MIR616	hsa-mir-616	12	57519163	57519259
MIR331	hsa-mir-331	12	95308420	95308513
MIR621	hsa-mir-621	13	40810766	40810861
MIR3171	hsa-mir-3171	14	27633205	27633278
MIR4709	hsa-mir-4709	14	74480133	74480204
MIR2116	hsa-mir-2116	15	59171183	59171262
MIR630	hsa-mir-630	15	72587217	72587313
MIR631	hsa-mir-631	15	75353611	75353685
MIR4313	hsa-mir-4313	15	75762215	75762315
MIR3180-4	hsa-mir-3180-4	16	15154850	15155002
MIR4314	hsa-mir-4314	17	8088056	8088147
MIR4315-1	hsa-mir-4315-1	17	45475363	45475435
MIR4315-1	hsa-mir-4315-2	17	45475363	45475435
MIR638	hsa-mir-638	19	10718404	10718503
MIR642B	hsa-mir-642b	19	45674932	45675008
MIR517B	hsa-mir-517b	19	53721076	53721142
MIR526A2	hsa-mir-526a-2	19	53726922	53726986
MIR3128	hsa-mir-3128	2	177255945	177256010
MIR4796	hsa-mir-4796	3	114743445	114743525
MIR4801	hsa-mir-4801	4	37241910	37241991
MIR4458	hsa-mir-4458	5	8460925	8460999
MIR126	hsa-mir-126	9	136670602	136670686
MIR1277	hsa-mir-1277	X	118386394	118386471
MIR1184-2	hsa-mir-1184-1	X	155383100	155383198
MIR1184-2	hsa-mir-1184-2	X	155383100	155383198
MIR1184-2	hsa-mir-1184-3	X	155383100	155383198
MIR6808	hsa-mir-6808	1	1339650	1339708
MIR1976	hsa-mir-1976	1	26554542	26554593
MIR3157	hsa-mir-3157	10	96064315	96064399
MIR4484	hsa-mir-4484	10	125819740	125819822
MIR610	hsa-mir-610	11	28056815	28056910
MIR6745	hsa-mir-6745	11	47179611	47179737
MIR4488	hsa-mir-4488	11	61508596	61508657
MIR7155	hsa-mir-7155	11	64341849	64341904
MIR920	hsa-mir-920	12	24212421	24212495
MIR1297	hsa-mir-1297	13	54311972	54312048
MIR342	hsa-mir-342	14	100109655	100109753
MIR299	hsa-mir-299	14	101023794	101023856
MIR543	hsa-mir-543	14	101031987	101032064
MIR7706	hsa-mir-7706	15	85380596	85380662
MIR8065	hsa-mir-8065	16	5632467	5632566
MIR324	hsa-mir-324	17	7223297	7223379
MIR6788	hsa-mir-6788	18	10759584	10759649
MIR548AV	hsa-mir-548av	18	72853321	72853382
MIR4758	hsa-mir-4758	20	62332487	62332557
MIR3136	hsa-mir-3136	3	69048958	69049035
MIR544B	hsa-mir-544b	3	124732439	124732516
MIR5091	hsa-mir-5091	4	13627865	13627957
MIR548H4	hsa-mir-548h-4	8	27048853	27048963
MIR6843	hsa-mir-6843	8	27610601	27610751
MIR4661	hsa-mir-4661	8	91205485	91205559
MIR6851	hsa-mir-6851	9	33467869	33467935
MIR601	hsa-mir-601	9	123402525	123402603
MIR4421	hsa-mir-4421	1	51059837	51059905
MIR3937	hsa-mir-3937	X	39661216	39661321
MIR4422	hsa-mir-4422	1	55225641	55225723
MIR505	hsa-mir-505	X	139924148	139924231
MIR3156-1	hsa-mir-3156-1	10	45164014	45164088
MIR105-2	hsa-mir-105-2	X	152394412	152394492
MIR107	hsa-mir-107	10	89592747	89592827
MIR3158-1	hsa-mir-3158-1	10	101601417	101601497
MIR3158-1	hsa-mir-3158-2	10	101601417	101601497
MIR6503	hsa-mir-6503	11	60209071	60209156
MIR6514	hsa-mir-6514	11	62792702	62792771
MIR326	hsa-mir-326	11	75335092	75335186
MIR3974	hsa-mir-3974	12	17673299	17673394
MIR1267	hsa-mir-1267	13	107531171	107531248
MIR6728	hsa-mir-6728	1	8866502	8866590
MIR6127	hsa-mir-6127	1	22633258	22633366
MIR4708	hsa-mir-4708	14	65335117	65335183
MIR370	hsa-mir-370	14	100911139	100911213
MIR4683	hsa-mir-4683	10	35641172	35641252
MIR22	hsa-mir-22	17	1713903	1713987
AP003392.13		11	119018944	119019012
MIR633	hsa-mir-633	17	62944215	62944312
MIR1244-3	hsa-mir-1244-1	12	9239467	9239551
MIR1244-3	hsa-mir-1244-2	12	9239467	9239551
MIR1244-3	hsa-mir-1244-3	12	9239467	9239551
MIR1244-3	hsa-mir-1244-4	12	9239467	9239551
MIR935	hsa-mir-935	19	53982307	53982397
MIR16-1	hsa-mir-16-1	13	50048973	50049061
MIR375	hsa-mir-375	2	219001645	219001708
MIR548AS	hsa-mir-548as	13	92490163	92490220
MIR4722	hsa-mir-4722	16	88716278	88716337
MIR573	hsa-mir-573	4	24520192	24520290
MIR636	hsa-mir-636	17	76736450	76736548
MIR4649	hsa-mir-4649	7	44110849	44110912
MIR4529	hsa-mir-4529	18	55479221	55479298
MIR4652	hsa-mir-4652	7	93716928	93717005
MIR4751	hsa-mir-4751	19	49933064	49933137
MIR2053	hsa-mir-2053	8	112643493	112643583
MIR521-2	hsa-mir-521-2	19	53716594	53716680
MIR7158	hsa-mir-7158	2	5974662	5974732
MIR5590	hsa-mir-5590	2	134857820	134857873
MIRLET7A1	hsa-let-7a-1	9	94175957	94176036
MIR7704	hsa-mir-7704	2	176188843	176188901
MIR181B2	hsa-mir-181b-2	9	124693710	124693798
MIR149	hsa-mir-149	2	240456001	240456089
MIR5692B	hsa-mir-5692b	21	42950928	42951014
MIR8082	hsa-mir-8082	4	113152282	113152362
MIR3140	hsa-mir-3140	4	152489327	152489416
MIR378E	hsa-mir-378e	5	170028488	170028566
MIR5692A1	hsa-mir-5692a-1	7	97963658	97963726
MIR6875	hsa-mir-6875	7	100868036	100868107
MIR325	hsa-mir-325	X	77005404	77005501
MIR4695	hsa-mir-4695	1	18883202	18883275
MIR197	hsa-mir-197	1	109598893	109598967
MIR135B	hsa-mir-135b	1	205448302	205448398
MIR3664	hsa-mir-3664	11	70872270	70872368
MIR4492	hsa-mir-4492	11	118910708	118910787
MIR1293	hsa-mir-1293	12	50234142	50234212
MIR5191	hsa-mir-5191	1	201719508	201719627
MIR4501	hsa-mir-4501	13	96427229	96427292
MIR200B	hsa-mir-200b	1	1167104	1167198
MIR141	hsa-mir-141	12	6964097	6964191
MIR5586	hsa-mir-5586	14	59646962	59647020
MIR5008	hsa-mir-5008	1	227941590	227941683
MIR4716	hsa-mir-4716	15	49169070	49169153
MIR8071-2	hsa-mir-8071-1	14	105640168	105640232
MIR8071-2	hsa-mir-8071-2	14	105640168	105640232
MIR3924	hsa-mir-3924	10	57304479	57304559
MIR3180-2	hsa-mir-3180-2	16	16309879	16309966
MIR8068	hsa-mir-8068	11	28477481	28477548
MIR4516	hsa-mir-4516	16	2133119	2133204
MIR144	hsa-mir-144	17	28861533	28861618
MIR6757	hsa-mir-6757	12	53056944	53057012
MIR365A	hsa-mir-365a	16	14309285	14309371
MIR3184	hsa-mir-3184	17	30117086	30117160
MIR3613	hsa-mir-3613	13	49996415	49996501
MIR132	hsa-mir-132	17	2049908	2050008
MIR3185	hsa-mir-3185	17	48724408	48724475
MIR494	hsa-mir-494	14	101029634	101029714
MIR6787	hsa-mir-6787	17	82236668	82236728
MIR4731	hsa-mir-4731	17	15251627	15251696
MIR3929	hsa-mir-3929	18	35934088	35934142
MIR637	hsa-mir-637	19	3961414	3961512
MIR4732	hsa-mir-4732	17	28861655	28861730
MIR516A2	hsa-mir-516a-2	19	53761133	53761222
MIR3192	hsa-mir-3192	20	18470615	18470691
MIR7108	hsa-mir-7108	19	2434914	2435000
MIR1302-3	hsa-mir-1302-3	2	113582959	113583096
MIR1302-5	hsa-mir-1302-5	20	50614636	50614785
MIR3196	hsa-mir-3196	20	63238779	63238842
MIR4784	hsa-mir-4784	2	131491160	131491236
MIR216B	hsa-mir-216b	2	56000714	56000795
MIR3118-1	hsa-mir-3118-1	21	13644775	13644850
MIR4774	hsa-mir-4774	2	168582943	168583018
MIR3130-2	hsa-mir-3130-1	2	206783234	206783308
MIR3130-2	hsa-mir-3130-2	2	206783234	206783308
MIR5704	hsa-mir-5704	3	131985855	131985931
MIR548AE1	hsa-mir-548ae-1	2	184378975	184379044
MIR4450	hsa-mir-4450	4	76573568	76573632
MIR6814	hsa-mir-6814	21	41746772	41746841
MIR3616	hsa-mir-3616	20	47166967	47167058
MIR7848	hsa-mir-7848	8	133046481	133046581
MIR3199-2	hsa-mir-3199-2	22	27920526	27920611
MIR1249	hsa-mir-1249	22	45200954	45201019
MIR4670	hsa-mir-4670	9	92527984	92528058
MIR4763	hsa-mir-4763	22	46113566	46113657
MIR532	hsa-mir-532	X	50003148	50003238
MIR3135A	hsa-mir-3135a	3	20137565	20137641
MIR4637	hsa-mir-4637	5	14825929	14826012
MIR2115	hsa-mir-2115	3	48316360	48316459
MIR1275	hsa-mir-1275	6	33999972	34000051
MIR5588	hsa-mir-5588	3	185253210	185253272
MIR6838	hsa-mir-6838	7	44073378	44073433
MIR4651	hsa-mir-4651	7	75915197	75915269
MIR6848	hsa-mir-6848	8	144317246	144317315
MIR1205	hsa-mir-1205	8	127960633	127960695
MIR3621	hsa-mir-3621	9	137169186	137169270
MIR4289	hsa-mir-4289	9	88745836	88745905
MIR676	hsa-mir-676	X	70022857	70022923
MIR219B	hsa-mir-219b	9	128392621	128392708
MIR6877	hsa-mir-6877	9	133051996	133052059
MIR29C	hsa-mir-29c	1	207801852	207801939
MIR4753	hsa-mir-4753	1	235190034	235190116
MIR6754	hsa-mir-6754	11	71473503	71473568
MIR4498	hsa-mir-4498	12	120155434	120155499
MIR4705	hsa-mir-4705	13	102045934	102046004
MIR382	hsa-mir-382	14	101054306	101054381
MIR4509-1	hsa-mir-4509-1	15	23197827	23197920
MIR4509-1	hsa-mir-4509-2	15	23197827	23197920
MIR4509-1	hsa-mir-4509-3	15	23197827	23197920
MIR1272	hsa-mir-1272	15	64762387	64762515
MIR6770-3	hsa-mir-6770-1	16	18379351	18379410
MIR6770-3	hsa-mir-6770-2	16	18379351	18379410
MIR6770-3	hsa-mir-6770-3	16	18379351	18379410
MIR3680-2	hsa-mir-3680-1	16	29599179	29599265
MIR3680-2	hsa-mir-3680-2	16	29599179	29599265
MIR6775	hsa-mir-6775	16	87834592	87834660
MIR10A	hsa-mir-10a	17	48579838	48579947
MIR7974	hsa-mir-7974	19	11495544	11495622
MIR6088	hsa-mir-6088	19	45436654	45436704
MIR4771-2	hsa-mir-4771-1	2	111771061	111771134
MIR4771-2	hsa-mir-4771-2	2	111771061	111771134
MIR8062	hsa-mir-8062	20	7371608	7371692
MIR3646	hsa-mir-3646	20	44408120	44408203
MIR6817	hsa-mir-6817	22	25455646	25455711
MIR1244-2	hsa-mir-1244-1	5	118974586	118974670
MIR1244-2	hsa-mir-1244-2	5	118974586	118974670
MIR1244-2	hsa-mir-1244-3	5	118974586	118974670
MIR1244-2	hsa-mir-1244-4	5	118974586	118974670
MIR4644	hsa-mir-4644	6	170330761	170330844
MIR4283-2	hsa-mir-4283-1	7	63621090	63621169
MIR4283-2	hsa-mir-4283-2	7	63621090	63621169
MIR6859-2	hsa-mir-6859-1	1	187891	187958
MIR6859-2	hsa-mir-6859-2	1	187891	187958
MIR6859-2	hsa-mir-6859-3	1	187891	187958
MIR6859-2	hsa-mir-6859-4	1	187891	187958
MIR6729	hsa-mir-6729	1	12029158	12029222
MIR186	hsa-mir-186	1	71067631	71067716
MIR7156	hsa-mir-7156	1	77060143	77060202
MIR6739	hsa-mir-6739	1	201863373	201863447
MIR1915	hsa-mir-1915	10	21496562	21496641
MIR548F1	hsa-mir-548f-1	10	54607874	54607957
MIR608	hsa-mir-608	10	100974985	100975084
MIR1343	hsa-mir-1343	11	34941837	34941920
MIR548AR	hsa-mir-548ar	13	114244505	114244561
MIR1197	hsa-mir-1197	14	101025564	101025651
MIR329-2	hsa-mir-329-2	14	101027100	101027183
MIR539	hsa-mir-539	14	101047321	101047398
MIR4715	hsa-mir-4715	15	25848747	25848825
MIR1273H	hsa-mir-1273h	16	24203116	24203231
MIR1976	hsa-mir-1976	CHR_HG2058_PATCH	26554542	26554593
MIR564	hsa-mir-564	CHR_HG2066_PATCH	44861884	44861977
MIR3972	hsa-mir-3972	CHR_HG2095_PATCH	17277889	17277975
MIR1244-4	hsa-mir-1244-1	CHR_HG1362_PATCH	12111952	12112036
MIR1244-4	hsa-mir-1244-2	CHR_HG1362_PATCH	12111952	12112036
MIR1244-4	hsa-mir-1244-3	CHR_HG1362_PATCH	12111952	12112036
MIR1244-4	hsa-mir-1244-4	CHR_HG1362_PATCH	12111952	12112036
MIR6719	hsa-mir-6719	CHR_HG2021_PATCH	39829716	39829802
AP003392.14		CHR_HG2217_PATCH	119018944	119019012
MIR4743	hsa-mir-4743	CHR_HG2213_PATCH	48670632	48670700
MIR3714	hsa-mir-3714	CHR_HG2236_PATCH	16933174	16933238
MIR1229	hsa-mir-1229	CHR_HG30_PATCH	179799144	179799212
MIR4666A	hsa-mir-4666a	CHR_HG2002_PATCH	228462074	228462152
MIR3680-1	hsa-mir-3680-1	CHR_HG926_PATCH	22774987	22775073
MIR3680-1	hsa-mir-3680-2	CHR_HG926_PATCH	22774987	22775073
MIR6892	hsa-mir-6892	CHR_HG708_PATCH	143382686	143382800
