Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
CD93	20	23079360	23086324
C10orf88	10	122930901	122954311
C16orf87	16	46796603	46831180
KIR2DL4	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54789815	54800891
GATC	12	120446444	120463749
AIM2	1	159062484	159147096
KLHL41	2	169509702	169526258
ACBD7	10	15075475	15088776
PSTK	10	122954381	122997513
PITPNM1	11	67491768	67506263
RBM14	11	66616582	66627347
KANTR	X	53094145	53170914
HPS6	10	102065390	102068038
TRIAP1	12	120443964	120446384
BBS5	2	169479480	169506655
TEX35	1	178513109	178548602
COX6A1	12	120438090	120440737
HTR3E	3	184097064	184106995
RBM4B	11	66664998	66677887
NCOR2	12	124324415	124567589
ABHD5	3	43690108	43734371
CDC42BPA	1	226989865	227318474
CLMP	11	123069872	123195248
ZNF439	19	11848726	11883750
RPP38	10	15097180	15139818
NINL	20	25452697	25585531
IGFBP3	7	45912245	45921874
SRRM3	7	76201896	76287288
MON2	12	62466817	62600476
RBM14-RBM4	11	66616626	66646469
NAP1L1	12	76036585	76084958
CCDC115	2	130337933	130342699
NMT2	10	15102584	15168693
CAND1	12	67269358	67319953
IL15RA	10	5943639	5978187
RNF128	X	106693794	106797016
TRIM31	CHR_HSCHR6_MHC_MANN_CTG1	30098021	30108223
IBTK	6	82169986	82247754
BANF2	20	17693672	17735871
CNTN2	1	205042937	205078289
PLXNC1	12	94148577	94307675
MOGS	2	74461057	74465410
GSTO1	10	104235356	104267459
ENPP6	4	184088706	184221230
HPSE	4	83292461	83335153
EID3	12	104303739	104305205
UPRT	X	75156388	75304885
CDH16	16	66908122	66918917
TXNRD1	12	104215779	104350307
CCNG2	4	77157207	77433388
ATG2B	14	96279195	96363341
SNRK	3	43286512	43424764
CELSR1	22	46360834	46537170
SLC32A1	20	38724486	38729372
FAM189B	1	155247205	155255483
MORN2	2	38875962	38929072
GZMB	14	24630954	24634267
ZNF227	19	44207547	44237268
TRMT61B	2	28849821	28870309
GPT2	16	46884362	46931289
ARRDC3	5	91368631	91383317
HILPDA	7	128455849	128458418
CFAP47	X	35919734	36385317
HSPB1	7	76302673	76304295
ANO10	3	43354859	43691594
ARHGEF33	2	38889841	38975449
METTL2B	7	128476729	128506602
TSC22D2	3	150408335	150466431
GZMH	14	24606480	24609699
SPDYA	2	28782517	28850611
IRF2	4	184387729	184474550
ARL5A	2	151788984	151828492
ABCB7	X	75051048	75156732
ZNF233	19	44259880	44275317
PBX1	1	164555584	164899296
PRG2	11	57386780	57390650
ZNF69	19	11887784	11914329
ZNF235	19	44228729	44305046
RCOR1	14	102592649	102730561
LDB1	10	102107560	102120453
SOX11	2	5692384	5701385
NXT1	20	23350791	23354771
ZNF700	19	11925068	11950773
SLC43A3	11	57406954	57427580
PPP1CB	2	28751640	28802940
KIR2DL2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54754679	54769001
TTC9C	11	62728069	62740293
ZNF763	19	11965037	11980381
KIR2DS2	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54738439	54769215
PPIAL4G	1	148479824	148483679
TUFT1	1	151540305	151583583
SALL4	20	51782331	51802521
SCART1	10	133453928	133523558
KCNAB1	3	156037701	156539138
YWHAG	7	76326799	76358991
SYCE1	10	133553901	133569835
SEPT7	7	35800932	35907105
FBXO44	1	11654375	11663327
PPRC1	10	102132994	102150333
MAPK13	6	36127809	36144524
SP140L	2	230327184	230403732
SSC4D	7	76389334	76409697
TMCC3	12	94567122	94650557
ZP3	7	76397518	76442071
C7orf31	7	25134692	25180356
CALCOCO1	12	53708517	53727745
NDUFA12	12	94897055	95003748
FASTKD1	2	169528508	169573875
CYP2E1	10	133520406	133561220
RGS12	4	3293028	3439913
LAYN	11	111540280	111561745
ACTR5	20	38748460	38772520
USP38	4	143184917	143223830
CH25H	10	89205629	89207314
FBXO2	1	11637018	11655785
LMX1A	1	165201867	165356715
ERAS	X	48826513	48830138
TGFB2	1	218345336	218444619
TMEM50A	1	25338317	25362361
WDR25	14	100376418	100530303
PCSK1N	X	48831096	48835610
HLA-C	CHR_HSCHR6_MHC_MANN_CTG1	31312208	31315579
GSKIP	14	96363452	96387288
GPR135	14	59429022	59465342
DYNLL1	12	120469850	120498493
ANGPTL1	1	178849535	178871077
CCDC175	14	59504539	59576812
ATF7IP	12	14365632	14502935
DPP6	7	153887097	154894285
TRIM40	CHR_HSCHR6_MHC_MANN_CTG1	30181237	30193864
AHCYL1	1	109984765	110023742
L3HYPDH	14	59460363	59484408
RALGPS2	1	178725147	178921841
CUEDC1	17	57861243	57955412
CASP1	11	105025443	105035250
RABIF	1	202878957	202889135
RAB22A	20	58309715	58367507
RXRG	1	165400922	165445355
RHCE	1	25362249	25430192
JKAMP	14	59484443	59505410
LYPLAL1	1	219173869	219212865
OR2H1	CHR_HSCHR6_MHC_MANN_CTG1	29456712	29463860
TMEM81	1	205083129	205084460
CLECL1	12	9715860	9733299
GSTO2	10	104268873	104304950
MED13L	12	115953872	116277719
STS	X	7219456	7354810
ZBTB3	11	62748319	62754160
HYOU1	11	119044188	119057227
ZNF675	19	23525631	23687220
BAZ2A	12	56595596	56636816
POLR2G	11	62761565	62766710
GNAI1	7	79768028	80226181
MPP4	2	201644870	201698694
PHOSPHO1	17	49223362	49230766
ANO2	12	5531869	5946232
METRNL	17	83079609	83095122
COQ5	12	120503279	120534434
NR2C1	12	95020229	95073628
ZNF91	19	23304991	23395471
KHDRBS3	8	135457456	135656722
TBC1D8B	X	106802673	106876150
KSR1	17	27456470	27626438
TMEM135	11	87037844	87328824
VEZF1	17	57971547	57988259
PFDN1	5	140245039	140303121
RNF10	12	120533480	120577588
KDM5C	X	53191321	53225422
SRSF1	17	58000919	58007346
KIR3DL3	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54724498	54736060
SP100	2	230415942	230545606
GZF1	20	23362182	23373062
CYSTM1	5	140175156	140282052
MYO7A	11	77128246	77215241
RIPPLY1	X	106900063	106903341
MORC4	X	106813871	107000212
ENPP2	8	119557086	119673453
TMEM179B	11	62787402	62790400
ITPRIP	10	104309698	104338465
RBMS2	12	56521820	56596193
ADK	10	74151185	74709303
CDH17	8	94127162	94217303
TAF6L	11	62771357	62787342
LGALS9	17	27629798	27649560
CLDN2	X	106900164	106930861
DYRK2	12	67648338	67665406
SEPT14	7	55793540	55862755
FGFR1	8	38400215	38468834
TPD52L1	6	125119049	125264407
SCAMP3	1	155255979	155262430
IL18RAP	2	102418689	102452565
KIR3DL2	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54850443	54867215
VCX	X	7842262	7844143
ZNF112	19	44326555	44367217
FOXF1	16	86510527	86515422
ATXN3	14	92044496	92106625
ZNF229	19	44417519	44448578
SH2B2	7	102285091	102321711
PNPLA4	X	7898247	7927739
MTHFSD	16	86530176	86555235
ZNF285	19	44382298	44401608
OR2AE1	7	99875987	99877057
TRIM4	7	99876958	99919600
AFDN	6	167826922	167972023
RBBP5	1	205086142	205122015
LRRC52	1	165544007	165563961
ALX3	1	110059870	110070700
KLHL12	1	202891116	202928636
ZNF517	8	144798876	144811169
SYNPO2	4	118850688	119061247
AHSA1	14	77457870	77469472
STRIP1	1	110031577	110074641
CD69	12	9752486	9760901
NBPF14	1	148531385	148679742
FIBIN	11	26994184	26996121
IL26	12	68201349	68225810
MGST3	1	165631213	165661796
IFNG	12	68154768	68159740
COX6A2	16	31427731	31428360
ADIPOR1	1	202940826	202958572
CPNE8	12	38646822	38907430
VIPAS39	14	77426675	77457952
FOXP4	6	41546426	41602384
DSTYK	1	205142505	205211702
HDDC2	6	125219962	125302078
SLC9A4	2	102473303	102533972
EXOC6B	2	72175984	72826041
RRAD	16	66921679	66925536
PKLR	1	155289293	155301438
CCDC142	2	74471986	74483408
ARHGEF3	3	56727418	57079329
ITGB4	17	75721328	75757818
CHST11	12	104455295	104762014
FGD6	12	95076749	95217482
SPDYE6	7	102347206	102356444
NCCRP1	19	39196964	39201884
MRPL53	2	74471982	74472687
SYCN	19	39202831	39204266
FAM20B	1	179025804	179076567
PPP2R3B	X	333963	386955
CYB5R1	1	202961873	202967275
HCN3	1	155277463	155289848
GJC3	7	99923269	99929620
CIAO2B	16	66932065	66934423
TTC31	2	74483073	74494886
ADRA2B	2	96112876	96116571
ZNF652	17	49289206	49362473
SLC41A2	12	104802553	104958744
AZGP1	7	99966720	99976042
CLK2	1	155262868	155278491
PPP1R16B	20	38805697	38923024
ZNF843	16	31432593	31443160
PNPLA2	11	818914	825573
SLC9A2	2	102619707	102711318
CTTNBP2	7	117710651	117874139
ASTL	2	96123850	96138436
IFNL3	19	39243553	39245129
KLRF1	12	9827481	9845007
MAP1LC3B2	12	116548105	116576597
ZC3H11B	1	219608010	219613145
TOR3A	1	179082070	179098023
AVL9	7	32495426	32588726
TAOK1	17	29390464	29551904
SLC30A10	1	219685427	219958647
TMCC2	1	205227946	205285632
RUFY4	2	218034960	218090581
DUSP2	2	96143169	96145440
PRKRIP1	7	102363872	102426676
MGAT4B	5	179797597	179806952
TRAF3	14	102777476	102911500
SCARB1	12	124776856	124882668
NPVF	7	25224570	25228486
ALDH9A1	1	165662216	165698863
NFS1	20	35668052	35699355
MRPS33	7	141002610	141015228
CRACR2B	11	826144	831991
KIR2DL4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54803565	54814279
IFNL2	19	39268514	39270092
PAXIP1	7	154943687	155003084
ARHGAP19	10	97222173	97292673
BICD2	9	92711363	92764833
C12orf49	12	116710171	116738070
ZKSCAN1	7	100015572	100041689
FAM71F2	7	128672288	128687872
CFTR	7	117465784	117715971
FOXC2	16	86566829	86569728
TTLL4	2	218710835	218755416
MAST2	1	45786987	46036122
YBX1	1	42682418	42703805
TMEM183A	1	203007374	203024848
UBL4B	1	110112468	110113945
C12orf45	12	104986316	105074197
KIR2DL1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54769704	54783960
LYSMD4	15	99715697	99733561
SNX27	1	151612006	151699091
STXBP6	14	24809656	25050297
ORAI2	7	102433106	102456825
SMARCC1	3	47585269	47782106
STARD7	2	96184859	96208825
ARMC5	16	31458080	31467166
ALDH1L2	12	105019784	105107643
CXCR2	2	218125289	218137251
TMCO1	1	165724293	165827755
KIR3DL1	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54816451	54830756
MEF2A	15	99565417	99716466
ARHGAP19-SLIT1	10	97153045	97292637
SLIT1	10	96998038	97185959
ATP11C	X	139726346	139945276
PHB	17	49404049	49414905
ALKBH4	7	102456238	102464863
WASHC4	12	105107324	105169134
MFSD9	2	102714630	102736888
TMEM205	19	11342776	11346518
RNFT2	12	116738178	116853631
SPATA12	3	57060664	57075432
PPIG	2	169584344	169641406
PHLDA2	11	2928273	2929420
UCK2	1	165827614	165911618
MIER1	1	66924895	66988619
DNAJA2	16	46955362	46973674
TBC1D9B	5	179862066	179907859
RBM12	20	35648925	35664956
TRPM8	2	233917373	234019522
BBOX1	11	27040725	27127809
NUAK2	1	205302059	205321791
SLC6A17	1	110150494	110202202
AP3M2	8	42152946	42171673
TSPAN16	19	11296139	11326996
CXCR1	2	218162845	218166995
TMX1	14	51240162	51257655
TMEM41A	3	185476496	185499057
HRK	12	116856144	116881441
GEM	8	94249253	94262350
KLHDC8A	1	205336065	205357090
AREL1	14	74653437	74713108
ZSCAN21	7	100049774	100065038
NABP1	2	191678068	191696659
KIR2DS4	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54832654	54848284
CFAP58	10	104353833	104455102
MAP3K13	3	185282941	185489094
CDK2AP2	11	67506497	67508649
FBXW8	12	116910950	117031148
PSMB3	CHR_HSCHR17_7_CTG4	38553523	38565018
CCDC159	19	11344684	11354944
SLC25A40	7	87833568	87876360
CES3	16	66961245	66975149
ZBTB24	6	109462594	109483237
ZNF3	7	100064033	100082548
MICAL1	6	109444062	109465968
FRMD6	14	51489100	51730727
GALK1	17	75751594	75765711
NAPB	20	23374519	23421519
TESC	12	117038923	117099479
VCX2	X	8169944	8171267
DBF4	7	87876216	87909553
PPP2R1B	11	111726908	111766427
CES2	16	66934444	66945096
ABL2	1	179099330	179229684
VCX3B	X	8464830	8466510
FOXL1	16	86576368	86582160
CYP27A1	2	218781749	218815293
RAB3D	19	11322068	11346270
FAM71F1	7	128709061	128731743
LXN	3	158645822	158672648
SPP2	2	234050679	234077134
SQSTM1	5	179806398	179838078
IFNL1	19	39296407	39298673
ARPC2	2	218217141	218254356
TMEM178B	7	141074064	141480380
ZNF484	9	92844182	92878038
MAS1L	CHR_HSCHR6_MHC_MANN_CTG1	29486298	29487434
NT5C3B	17	41825181	41836263
TNS2	12	53046969	53064372
TMEFF2	2	191949043	192194933
GFM1	3	158644278	158692575
EPRS	1	219968600	220046530
WFDC2	20	45469753	45481532
PSTPIP2	18	45983536	46072272
FKBP7	2	178463664	178478600
MAT2B	5	163503114	163519354
BLACAT1	1	205434885	205457091
LEMD1	1	205381378	205455954
NUDT4B	1	148748894	148750099
UNC5C	4	95162504	95549206
PIGV	1	26787472	26798398
GRAMD1B	11	123358428	123627774
GGA2	16	23463542	23521995
RASEF	9	82979590	83063177
ACKR1	1	159203307	159206500
ZNF678	1	227563543	227677443
CAVIN2	2	191834310	191847088
PTPN18	2	130356045	130375405
MRNIP	5	179835133	179862173
EEPD1	7	36153254	36301538
CADM3	1	159171609	159203313
CHD1	5	98853985	98928957
CABP2	11	67518912	67524517
POP5	12	120578764	120581398
FAM78B	1	166057426	166166969
RBM41	X	107064420	107118823
TMEM127	2	96248516	96265994
ARL4C	2	234493041	234497081
LRFN1	19	39306568	39315336
MYOZ2	4	119135784	119187789
KIAA1147	7	141656728	141702166
CSTL1	20	23439685	23444930
SIK2	11	111602449	111730855
COMTD1	10	75233969	75236030
CST11	20	23450403	23452876
AGK	7	141551189	141655244
THAP8	19	36034985	36054762
ANOS1	X	8528874	8732137
VAPB	20	58389122	58451101
SNAP47	1	227728539	227781231
ZDHHC18	1	26826688	26857604
TBL1XR1	3	177019340	177228000
IL22	12	68248242	68253604
CLIP3	19	36014660	36033343
CABP1	12	120640552	120667324
KCNC4	1	110211343	110283100
PLEKHA3	2	178480457	178516463
GMFG	19	39328353	39342372
PPFIA4	1	203026498	203078740
POGK	1	166839447	166856344
SSR3	3	156540140	156555184
JMJD4	1	227730425	227735411
NUP62CL	X	107123427	107206433
CCDC173	2	169645425	169694405
SOS1	2	38981396	39124345
GAB1	4	143336762	143474568
ADGRG3	16	57668277	57689378
TAF2	8	119730774	119832841
SH3BP4	2	234952017	235055714
POLD1	19	50384204	50418016
HOXC13	12	53938831	53946544
MRPS17	7	55951877	55956500
PRKAG3	2	218822383	218832086
KLHL10	17	41835685	41848384
HOXC12	12	53954903	53958956
CAB39	2	230712842	230821075
PHOSPHO2	2	169694454	169701708
ZNF713	7	55887456	55942530
GAS8	16	90019629	90044975
TMEM182	2	102736905	103019900
CST8	20	23491101	23496018
CCDC34	11	27330827	27363234
NIPSNAP2	7	55951793	56000181
DRC7	16	57694793	57731805
KLHL23	2	169694488	169776989
SFN	1	26863149	26864456
CALU	7	128739292	128773400
HBEGF	5	140332843	140346603
VEZT	12	95217746	95302799
NOVA1	14	26443090	26598033
GABRR3	3	97986673	98035304
VPS13C	15	61852389	62060473
ZNF681	19	23739195	23758891
UBC	12	124911604	124917368
DBNDD1	16	90004865	90020128
MDM1	12	68272443	68332381
RAB11A	15	65726054	65891989
RBM15	1	110338506	110346681
PIP4K2B	CHR_HSCHR17_7_CTG4	38566476	38600913
HGFAC	4	3441887	3449495
PRSS38	1	227815693	227846470
MLEC	12	120687149	120701859
KIR2DL3	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54738470	54752993
MAP7	6	136342281	136550819
USP53	4	119212587	119295517
WNT9A	1	227918656	227947932
NOLC1	10	102152176	102163871
EIF4B	12	53006158	53042209
DENND4A	15	65658046	65792293
WNT3A	1	228006998	228061271
LGR4	11	27365961	27472790
WNT6	2	218859805	218874233
ITM2C	2	230864639	230879248
PPM1H	12	62643994	62935150
ARF1	1	228082660	228099212
FBXO31	16	87326987	87392142
ASB8	12	48147789	48181213
HLA-E	CHR_HSCHR6_MHC_SSTO_CTG1	30481701	30486439
UNC119B	12	120710458	120723640
CXCL13	4	77511753	77611834
WNT10A	2	218880852	218899581
MAB21L2	4	150581922	150584693
GSTP1	11	67583595	67586656
NPIPA7	16	16379055	16393954
CDK5R2	2	218959655	218962162
LRBA	4	150264435	151015727
MAP1LC3B	16	87383953	87404779
RAD54B	8	94371960	94475115
SPINT3	20	45512461	45515624
OPN1SW	7	128772491	128775790
ACADS	12	120725774	120740008
NUP214	9	131125586	131234663
FAM135B	8	138130023	138497261
KIF21A	12	39293228	39443390
HOXC11	12	53973126	53977643
SPIB	19	50418938	50431314
C16orf95	16	87083562	87317420
HTR5A	7	155070324	155087392
WFDC6	20	45534196	45539495
ZFP64	20	52051663	52204308
FEV	2	218981087	218985657
EPPIN-WFDC6	20	45534196	45547662
SLC24A1	15	65611366	65660995
CXorf66	X	139955725	139965520
EPPIN	20	45540626	45547752
MAP3K4	6	160991727	161117385
ATP5F1B	12	56638175	56645984
FSBP	8	94372170	94436952
SPRYD3	12	53064316	53079404
NANP	20	25612935	25624014
FBXO21	12	117141988	117190531
AGAP1	2	235494043	236131800
TPBG	6	82363206	82370828
STX12	1	27773219	27824443
PIH1D3	X	107206632	107244243
SSB	2	169791933	169812064
CDK18	1	205504595	205532793
TSEN54	17	75516060	75524735
C2orf70	2	26562585	26579532
HOXC5	12	54032853	54035358
FAM171A1	10	15211643	15371289
RAB38	11	88113251	88175443
HOXC10	12	53985065	53990279
CDK5	7	151053815	151057897
CIB4	2	26581205	26641366
ZNF337	20	25673195	25696853
HOXC6	12	53990624	54030823
METTL5	2	169810081	169824931
FAM9A	X	8790795	8801383
HOXC4	12	54016931	54056030
INTS14	15	65578753	65611289
CELF3	1	151702404	151716814
STK26	X	132023302	132075943
TAPBP	CHR_HSCHR6_MHC_MCF_CTG1	33470037	33484728
ZMYM1	1	35032172	35115859
LRWD1	7	102464956	102473168
LETM2	8	38386207	38409527
TIPARP	3	156673235	156706770
IQSEC3	12	66765	178460
SLC4A2	7	151057210	151076526
SOX3	X	140502985	140505116
ZNF503	10	75397830	75401764
POLR2J	7	102473118	102478907
GPBAR1	2	218259496	218263861
DHX37	12	124946825	124989131
CFAP44	3	113286930	113441610
MYOG	1	203083129	203086012
GPN2	1	26876132	26890283
PPP1R8	1	27830782	27851676
CBL	11	119206276	119313926
RIIAD1	1	151710433	151729805
SMPX	X	21705972	21758116
CDR1	X	140783578	140784366
SPICE1	3	113442718	113515187
C1orf35	1	228100726	228105411
ANLN	7	36389821	36453791
GPR55	2	230907318	230961066
NOS1	12	117208142	117452170
CBS	21	43053191	43076943
CARD17	11	105092469	105101431
CARD16	11	105041326	105101431
BPNT1	1	220057482	220090462
BOC	3	113211003	113287459
GBX2	2	236165236	236168386
CCDC136	7	128790757	128822132
ELOVL3	10	102226299	102229589
PSMB1	6	170535120	170553307
ASB18	2	236194872	236264409
PITX3	10	102230186	102241512
PLEKHB1	11	73646178	73662819
FBXO6	1	11664200	11674354
HELQ	4	83407343	83455855
RUSC1	1	155320894	155331114
CLEC3B	3	45001548	45036071
SLC16A4	1	110362851	110391082
ZDHHC3	3	44915257	44976185
DYNLL2	17	58083419	58095542
OR4D1	17	58148449	58159555
KIAA0895	7	36324221	36390125
IQCA1	2	236324147	236507535
VRK3	19	49976468	50025946
OR4D2	17	58166982	58171411
EPX	17	58192726	58205174
TSPAN1	1	46175073	46185962
OR5P2	CHR_HSCHR11_1_CTG5	7795905	7796973
OR5P3	CHR_HSCHR11_1_CTG5	7825037	7825972
EXOSC7	3	44975241	45036066
ZNF180	19	44474428	44500524
SELENOT	3	150602875	150630445
PIK3R3	1	46040140	46133036
SPPL3	12	120762510	120904358
CYP4V2	4	186191567	186213463
HEY2	6	125747664	125761269
DHODH	16	72008588	72027664
BRI3BP	12	124993645	125031231
XYLT1	16	17101769	17470881
ACKR3	2	236567787	236582354
KLKB1	4	186208979	186258471
MFSD1	3	158732198	158829719
TADA1	1	166856510	166876264
GRAMD4	22	46576012	46679790
SPATA3	2	230990324	231025055
C4orf3	4	119296419	119304445
CRYBA2	2	218990189	218993422
RTN4RL2	11	57460528	57477534
POTEI	2	130459455	130509707
P3R3URF	1	46175486	46176478
ADORA1	1	203090654	203167405
COPS8	2	237085882	237100474
FRMD3	9	83242990	83538546
FAM9B	X	9024232	9295682
SERP1	3	150541998	150603228
YY2	X	21855987	21858727
OR10A3	CHR_HSCHR11_1_CTG5	7949167	7950227
MBTPS2	X	21839617	21885423
NLRP10	CHR_HSCHR11_1_CTG5	7970057	7976059
ILDR2	1	166895711	166975540
OR5AC2	3	98087173	98088102
EIF2A	3	150546678	150586016
KSR2	12	117453012	117968983
FANK1	10	125896539	126009592
LAMTOR5	1	110401249	110407942
AVPR1A	12	63142759	63150942
TRIM10	CHR_HSCHR6_MHC_MANN_CTG1	30197074	30206062
OR5H14	3	98147479	98156614
ADIPOQ	3	186842704	186858463
C2orf72	2	231037523	231049719
OR5H1	3	98130721	98138548
CCNY	10	35247025	35572669
CARD18	11	105137721	105531697
CFC1B	2	130521197	130528604
PRDM7	16	90056566	90092072
FDPS	1	155308748	155320666
MDK	11	46380756	46383837
AAMP	2	218264123	218270257
IARS2	1	220094132	220148041
CFAP65	2	219002846	219041527
SPANXB1	X	141002594	141003706
UBFD1	16	23557721	23574389
GIT1	17	29573469	29594054
CLEC2B	12	9852984	9870136
CTIF	18	48539031	48863217
CSRNP3	2	165469647	165689407
FRMPD3	X	107522450	107605251
SLC39A10	2	195575977	195737702
SCUBE3	6	35213956	35253079
EARS2	16	23522014	23557731
MRPL55	1	228106679	228109312
CCDC184	12	48183584	48185926
SMUG1	12	54121277	54189008
AACS	12	125065434	125143333
RARRES1	3	158696892	158732489
OR10AD1	12	48202083	48203387
PRPS1	X	107628424	107651026
TGFB1I1	16	31471585	31477960
NBPF20	1	145289900	145405778
RXYLT1	12	63779803	63809558
FCF1	14	74713144	74738620
HAUS1	18	46104378	46128333
DSCC1	8	119833976	119855894
ZNF473	19	50025714	50053414
CNOT6L	4	77713387	77819615
MSH4	1	75796882	75913242
DOK7	4	3463306	3501473
INSIG1	7	155297776	155310235
DPY19L2	12	63558913	63668939
MAEL	1	166975582	167022214
H1FNT	12	48328980	48330279
BRPF3	6	36196744	36232790
CST9L	20	23564732	23568484
OR5H15	3	98166696	98169774
KRTAP5-2	CHR_HSCHR11_1_CTG6	1602887	1604004
DUSP8	CHR_HSCHR11_1_CTG6	1559754	1577630
ABCA3	16	2275881	2340746
ATP5F1A	18	46080248	46104334
MYBPH	1	203167811	203175826
KRTAP5-1	CHR_HSCHR11_1_CTG6	1590052	1590993
CDC42BPB	14	102932380	103057549
EN2	7	155458129	155464831
OR5H6	3	98263252	98265356
OR5H2	3	98282888	98283832
OR5K4	3	98353854	98354819
OR5K3	3	98390666	98391631
LDOC1	X	141175745	141177125
ZNF641	12	48337180	48351414
TSHZ2	20	52972358	53495330
CHI3L1	1	203178931	203186704
SPANXC	X	141241463	141242496
NDUFV1	11	67605653	67612554
MCU	10	72692131	72887694
RBM33	7	155644451	155781485
DEPTOR	8	119873717	120050918
COMMD5	8	144841042	144853736
NSRP1	17	30115521	30186475
TNS3	7	47275154	47582558
HNF1A	12	120978543	121002512
ZNF7	8	144827464	144847509
AMN	14	102922656	102933596
GALNT3	2	165747591	165794682
TMEM132B	12	125186836	125662377
CES4A	16	66988589	67009758
CNPY1	7	155474206	155555450
ANXA6	5	151100706	151157785
NAA35	9	85941146	86022298
KLRF2	12	9881489	9895833
GUCY2C	12	14612632	14696599
WSB2	12	118032694	118062430
TBP	6	170554302	170572870
IDNK	9	83623049	83644130
UBR3	2	169827458	170084131
RAB3GAP2	1	220148293	220272453
DUSP27	1	167094045	167129165
MGME1	20	17969018	17991122
GPA33	1	167052836	167166479
CKS1B	1	154974653	154979251
SSH2	17	29625938	29930276
OVOL2	20	17956979	18059188
PLBD1	12	14503661	14567883
EXOSC6	16	70246778	70251940
PHF21B	22	44881162	45010005
SNX5	20	17941597	17968980
ALS2	2	201700267	201780956
CYP27C1	2	127184120	127220078
RSAD2	2	6865806	6898239
ASB17	1	75918873	75932431
RFC5	12	118013588	118033130
CMPK2	2	6840570	6866635
NETO2	16	47077703	47143997
LSM8	7	118184144	118204035
TTC21B	2	165857475	165953816
KIAA0556	16	27550133	27780369
NXF1	11	62792123	62806302
SHH	7	155799980	155812463
PMFBP1	16	72112157	72176878
ZNF878	19	12043805	12052939
ZNF625-ZNF20	19	12132117	12156731
ANKRD7	7	118214669	118496171
DNAH7	2	195737703	196068837
CD36	7	80369575	80679277
ZDHHC15	X	75368427	75523502
ZNF433	19	12014732	12035741
NR0B2	1	26911489	26913975
EFCAB5	17	29929200	30108452
NUDC	1	26900238	26946871
HTR2B	2	231108230	231125042
AARS	16	70252295	70289543
KIR3DL3	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54724453	54736091
PSMD1	2	231056864	231172827
SMARCA5	4	143513702	143557486
CIAO1	2	96266132	96273349
FRG2B	10	133623895	133626795
ST6GALNAC3	1	76074746	76634603
GPATCH3	1	26890488	26900467
ZNF625	19	12142090	12156729
IAH1	2	9473658	9496543
SRGAP1	12	63844700	64162217
LBX2	2	74497517	74503316
CST9	20	23602410	23605876
ZNF20	19	12092843	12140355
SORCS3	10	104641290	105265242
TINF2	14	24239643	24242674
FRMD7	X	132076993	132128020
MAGEE2	X	75782988	75785236
HP	16	72054592	72061055
ETV1	7	13891229	13991425
ZNF844	19	12064731	12081565
CHRM4	11	46385098	46386608
ANKRD13B	17	29589769	29614761
RNF32	7	156640281	156677130
KIF25	6	167996241	168045089
METAP2	12	95473520	95515839
CCDC141	2	178829757	179050086
PBDC1	X	76172936	76178204
FAM47C	X	37008397	37011666
SOAT1	1	179293714	179358680
GBF1	10	102245532	102382899
ARHGAP27	17	45393902	45434421
CERK	22	46684410	46738252
VWF	12	5948874	6124770
CATIP	2	218356857	218368099
RASA4B	7	102482445	102517781
LPO	17	58218548	58268518
FLAD1	1	154983338	154993111
ABHD15	17	29560547	29567037
ADAM17	2	9488486	9556732
CORO6	17	29614756	29622907
CST3	20	23626706	23638473
TMBIM1	2	218274197	218292586
TRMT13	1	100133150	100150498
C12orf43	12	121000486	121016502
TTN	2	178525989	178830802
CWC25	CHR_HSCHR17_7_CTG4	38601221	38626268
MBNL3	X	132369317	132489968
TRIM15	CHR_HSCHR6_MHC_MANN_CTG1	30208315	30217805
PHKB	16	47461123	47701523
LRRC39	1	100148449	100178273
CDK15	2	201790461	201895550
SPDYE2B	7	102650325	102661398
MRPL1	4	77862830	77952785
UPK3BL1	7	102637025	102642791
POLR2J2	7	102665368	102671629
MKS1	17	58205437	58219605
DMRTA2	1	50417550	50423443
MAGEE1	X	76427724	76431353
RASA4	7	102573807	102616757
LY6G6D	CHR_HSCHR6_MHC_MCF_CTG1	31783184	31794200
FCAR	CHR_HSCHR19LRC_PGF1_CTG3_1	54804243	54821411
PCDHA10	5	140855883	141012347
CEACAM3	19	41796587	41811554
PCDHA2	5	140794852	141012347
CSN1S1	4	69931068	69946574
HADH	4	107989714	108035175
SUN5	20	32983773	33004433
KLHDC8B	3	49171598	49176486
IDH2	15	90083045	90102504
TMEM178A	2	39664982	39717963
REST	4	56907876	56966678
DNAH12	3	57293699	57544344
TPH1	11	18017564	18042426
POU4F3	5	146338839	146341728
CDKN1A	6	36676460	36687339
PRSS1	CHR_HSCHR7_2_CTG6	142790185	142793793
KCTD9	8	25427847	25458476
